,store,sido,gungu,store_address
1297,효곡,경북,포항시,경북 포항시 남구 효자동 579-1 풍림아이원상가 107호
1298,양덕(포항),경북,포항시,경북 포항시 북구 양덕동 1574
1299,양학대이,경북,포항시,경북 포항시 북구 득량동 2-1
1300,용흥,경북,포항시,경북 포항시 북구 용흥동 63-9
1301,우현,경북,포항시,경북 포항시 북구 우현동 산15-6
1302,장성,경북,포항시,경북 포항시 북구 장성동 1355-4
1303,죽도,경북,포항시,경북 포항시 북구 대흥동 592-2
1304,환호장량,경북,포항시,경북 포항시 북구 장성동 1378-3
1305,흥해,경북,포항시,경북 포항시 북구 흥해읍 옥성리 403-7
1306,가호,경남,진주시,경남 진주시 가좌동 1431-2
1307,감계,경남,창원시,경남 창원시 의창구 북면 감계리 246-4
1308,거창1호,경남,거창군,경남 거창군 거창읍 대동리 697-5
1309,경화,경남,창원시,경남 창원시 진해시 경화동 1199-2(대풍빌라201)
1310,고성(경남),경남,고성군,경남 고성군 고성읍 송학리 244-88
1311,고현상동,경남,거제시,경남 거제시 고현동 406-18
1312,구산,경남,김해시,경남 김해시 구산동 275-8
1313,금산(진주),경남,진주시,경남 진주시 금산면 장사리 1022-1
1314,남양,경남,창원시,경남 창원시 성산구 가음동 7-2 더원빌딩 104호
1315,남지,경남,창녕군,경남 창녕군 남지읍 남지리 994-7
1316,남해,경남,남해군,경남 남해군 남해읍 서변리 160-11
1317,내동,경남,김해시,경남 김해시 내동 138-1
1318,내서삼계,경남,창원시,경남 창원시 마산회원구 삼계리 35-14
1319,내일동,경남,밀양시,경남 밀양시 내이동 1566-6
1320,대방,경남,창원시,경남 창원시 성산구 성주동 100
1321,대원,경남,창원시,경남 창원시 이창구 대원동 96-1
1322,대청,경남,김해시,경남 김해시 대청동 61-1
1323,덕계,경남,양산시,경남 양산시 덕계동 750
1324,도계명서,경남,창원시,경남 창원시 의창구 도계동 396-9
1325,동금,경남,사천시,경남 사천시 동금동 58-4
1326,고현상동,경남,거제시,경남 거제시 고현동 406-18
1327,아주,경남,거제시,경남 거제시 아주동 1178-2
1328,옥포(거제),경남,거제시,경남 거제시 옥포동 160-1
1329,장평,경남,거제시,경남 거제시 장평동 274
1330,중곡수월,경남,거제시,경남 거제시 고현동 997
1331,거창1호,경남,거창군,경남 거창군 거창읍 대동리 697-5
1332,고성(경남),경남,고성군,경남 고성군 고성읍 송학리 244-88
1333,구산,경남,김해시,경남 김해시 구산동 275-8
1334,내동,경남,김해시,경남 김해시 내동 138-1
1335,대청,경남,김해시,경남 김해시 대청동 61-1
1336,부원봉황,경남,김해시,경남 김해시 부원동 607-3
1337,삼계1호,경남,김해시,경남 김해시 삼계동 1479-4
1338,삼방,경남,김해시,경남 김해시 삼방동 691-2 한일상가 108호
1339,삼정,경남,김해시,경남 김해시 삼정동 590-1
1340,어방,경남,김해시,경남 김해시 어방동 523-2
1341,외동,경남,김해시,경남 김해시 외동 1187-12
1342,율하(김해),경남,김해시,경남 김해시 관동동 1106-5
1343,장유1호,경남,김해시,경남 김해시 내덕동 220-1 101호
1344,주촌,경남,김해시,경남 김해시 주촌면 천곡리 1381-14
1345,지내안동,경남,김해시,경남 김해시 지내동 67-1
1346,진영,경남,김해시,경남 김해시 진영읍 진영리 1629-2
1347,남해,경남,남해군,경남 남해군 남해읍 서변리 160-11
1348,내일동,경남,밀양시,경남 밀양시 내이동 1566-6
1349,삼문상남,경남,밀양시,경남 밀양시 삼문동 717-11
1350,동금,경남,사천시,경남 사천시 동금동 58-4
1351,벌용,경남,사천시,경남 사천시 벌리동 255-9
1352,사남,경남,사천시,경남 사천시 사남면 월성리 64-3
1353,사천,경남,사천시,경남 사천시 사천읍 수석리 293-23
1354,산청,경남,산청군,경남 산청군 산청읍 옥산리 249
1355,덕계,경남,양산시,경남 양산시 덕계동 750
1356,물금,경남,양산시,경남 양산시 물금읍 범어리 2682-10
1357,삼성,경남,양산시,경남 양산시 북정동 885-12
1358,상북,경남,양산시,경남 양산시 상북면 석계리 242-1
1359,서창1호,경남,양산시,경남 양산시 삼호동 707-2
1360,석산,경남,양산시,경남 양산시 동면 금산리 1422-14
1361,중앙(양산),경남,양산시,경남 양산시 중부동 684-6
1362,증산(양산),경남,양산시,경남 양산시 물금읍 가촌리 1269-3
1363,통도사,경남,양산시,경남 양산시 하북면 순지리 814-5
1364,의령,경남,의령군,경남 의령군 의령읍 서동리 497-9
1365,가호,경남,진주시,경남 진주시 가좌동 1431-2
1366,금산(진주),경남,진주시,경남 진주시 금산면 장사리 1022-1
1367,상대,경남,진주시,경남 진주시 상대동 238-3
1368,상봉중앙,경남,진주시,경남 진주시 중안동 2-11
1369,상평,경남,진주시,경남 진주시 상평동 198-43
1370,신안평거,경남,진주시,경남 진주시 신안동 439-7
1371,이현인사,경남,진주시,경남 진주시 인사동 145-5
1372,초장,경남,진주시,경남 진주시 초전동 1704-7
1373,칠암망경,경남,진주시,경남 진주시 칠암동 491-47
1374,판문평거,경남,진주시,경남 진주시 평거동 733-1번지
1375,하대초전,경남,진주시,경남 진주시 하대동 306-38
1376,혁신(경남 진주),경남,진주시,경남 진주시 충무공동 38-1 뽀빠이프라자 1층 113호
1377,남지,경남,창녕군,경남 창녕군 남지읍 남지리 994-7
1378,창녕,경남,창녕군,경남 창녕군 창녕읍 송현리 238-1
1379,문화중앙,경남,창원시,경남 창원시 마산합포구 중앙동2가 5-42번지
1380,월영,경남,창원시,경남 창원시 마산합포구 해운동 42-11
1381,자산교방,경남,창원시,경남 창원시 마산합포구 자산동 301-19
1382,진동,경남,창원시,경남 창원시 마산합포구 진동면 진동리 436
1383,창동산호,경남,창원시,경남 창원시 마산합포구 산호동 338-35
1384,내서삼계,경남,창원시,경남 창원시 마산회원구 삼계리 35-14
1385,석전회성,경남,창원시,경남 창원시 마산회원구 석전동 264-56
1386,양덕(창원),경남,창원시,경남 창원시 마산회원구 양덕동 61-61
1387,합성,경남,창원시,경남 창원시 마산회원구 합성동 263-36
1388,호계,경남,창원시,경남 창원시 마산회원구 내서읍 호계리 289-45
1389,회원,경남,창원시,경남 창원시 마산회원구 회원2동 669-4
1390,남양,경남,창원시,경남 창원시 성산구 가음동 7-2 더원빌딩 104호
1391,대방,경남,창원시,경남 창원시 성산구 성주동 100
1392,반송(창원),경남,창원시,경남 창원시 성산구 반지동 55-18
1393,사파,경남,창원시,경남 창원시 성산구 사파동 113-16
1394,상남,경남,창원시,경남 창원시 성산구 상남동 34-9
1395,중앙(창원 성산),경남,창원시,경남 창원시 성산구 중앙동 100-1
1396,감계,경남,창원시,경남 창원시 의창구 북면 감계리 246-4
1397,도계명서,경남,창원시,경남 창원시 의창구 도계동 396-9
1398,동읍,경남,창원시,경남 창원시 의창구 동읍 용잠리 371-2
1399,봉곡사림,경남,창원시,경남 창원시 의창구 봉곡동 132-18
1400,용지호수,경남,창원시,경남 창원시 의창구 용호동 73-50
1401,중동소답,경남,창원시,경남 창원시 의창구 서상동 666-6
1402,팔용,경남,창원시,경남 창원시 의창구 팔용동 183-10
1403,석동덕산,경남,창원시,경남 창원시 진해구 석동 139-6
1404,웅동용원,경남,창원시,경남 창원시 진해구 용원동 1214-11
1405,중앙(진해),경남,창원시,경남 창원시 진해구 여좌동 925-40
1406,태평,경남,창원시,경남 창원시 진해구 수송동 12-11
1407,풍호,경남,창원시,경남 창원시 진해구 풍호동 305-17
1408,미수봉평,경남,통영시,경남 통영시 미수동 22-1번지 운하상가 115호
1409,북신무전,경남,통영시,경남 통영시 무전동 1033-2
1410,죽림,경남,통영시,경남 통영시 광도면 죽림리 1574-57 가동 103호
1411,함안,경남,함안군,경남 함안군 가야읍 말산리 58-27
1412,함양,경남,함양군,경남 함양군 함양읍 용평리 773-1
1413,합천,경남,합천군,경남 합천군 합천읍 합천리 320-3
1414,건입,제주,제주시,제주 제주시 일도2동 160-9
1415,노형,제주,제주시,제주 제주시 노형동 1055-1
1416,대정,제주,서귀포시,제주 서귀포시 대정읍 하모리 1048-4
1417,도두해안도로,제주,제주시,제주 제주시 도두1동 2625-4
1418,삼양화북,제주,제주시,제주 제주시 화북1동 1023-2
1419,서귀포1호,제주,서귀포시,제주 서귀포시 동흥동 117-6
1420,서귀포명동,제주,서귀포시,제주 서귀포시 서귀동 408-3
1421,서귀포혁신도시,제주,서귀포시,제주 서귀포시 강정동 166-10
1422,성산일출봉,제주,서귀포시,제주 서귀포시 성산읍 성산리 362-1
1423,아라이도,제주,제주시,제주 제주시 이도2동 1970-24
1424,애월해안도로,제주,제주시,제주 제주시 애월읍 고내리 1145-1
1425,외도하귀,제주,제주시,제주 제주시 애월읍 하귀1리 167
1426,용담삼도,제주,제주시,제주 제주시 용담2동 624-10 1층
1427,이도일도,제주,제주시,제주 제주시 이도이동 1179-18
1428,제주1호,제주,제주시,제주 제주시  연동 272-30
1429,중문,제주,서귀포시,제주 서귀포시 중문동 1965-9
1430,탑동(제주),제주,제주시,제주 제주시 삼도이동 1192-22
1431,표선,제주,서귀포시,제주 서귀포시 표선리 633-3
1432,한림협재,제주,제주시,제주 제주시 한림읍 한림리 1582-8
1433,함덕,제주,제주시,제주 제주시 조천읍 함덕리 1004-41
1434,대정,제주,서귀포시,제주 서귀포시 대정읍 하모리 1048-4
1435,서귀포1호,제주,서귀포시,제주 서귀포시 동흥동 117-6
1436,서귀포명동,제주,서귀포시,제주 서귀포시 서귀동 408-3
1437,서귀포혁신도시,제주,서귀포시,제주 서귀포시 강정동 166-10
1438,성산일출봉,제주,서귀포시,제주 서귀포시 성산읍 성산리 362-1
1439,중문,제주,서귀포시,제주 서귀포시 중문동 1965-9
1440,표선,제주,서귀포시,제주 서귀포시 표선리 633-3
1441,건입,제주,제주시,제주 제주시 일도2동 160-9
1442,노형,제주,제주시,제주 제주시 노형동 1055-1
1443,도두해안도로,제주,제주시,제주 제주시 도두1동 2625-4
1444,삼양화북,제주,제주시,제주 제주시 화북1동 1023-2
1445,아라이도,제주,제주시,제주 제주시 이도2동 1970-24
1446,애월해안도로,제주,제주시,제주 제주시 애월읍 고내리 1145-1
1447,외도하귀,제주,제주시,제주 제주시 애월읍 하귀1리 167
1448,용담삼도,제주,제주시,제주 제주시 용담2동 624-10 1층
1449,이도일도,제주,제주시,제주 제주시 이도이동 1179-18
1450,제주1호,제주,제주시,제주 제주시  연동 272-30
1451,탑동(제주),제주,제주시,제주 제주시 삼도이동 1192-22
1452,한림협재,제주,제주시,제주 제주시 한림읍 한림리 1582-8
1453,함덕,제주,제주시,제주 제주시 조천읍 함덕리 1004-41
